address,city,company,company_id,company_type,date,education,experience,job_description,job_name,job_url,people_num,salary
虹梅路,上海,上海联博众赢网络科技有限公司,CZ307735280,合资,2019-07-10 18:16:28,本科,3-5年,岗位职责：1.负责公司京东、拼多多等平台的店铺运作，日常上新，商品数据，店铺数据，推广数据的相关整理与分析；2.负责公司线上店铺的商品详情页更新及优化工作，618，双11，双12活动���促的活动策划工作；3.负责线上店铺直通车，钻展推广工作，能有效降低平均获客费用，提高ROI；4.配合完成部门其它相关运营工作的安排。任职资格：1.一年以上淘宝网企业级店铺市场部或宣传推广团队管理经验；2.必须精通直通车，钻展的实际操作与优化，精通手淘搜索的成长逻辑及实际操作；2.从事电商领域三年以上，有年营业额单个店铺超过3000万以上店铺经验的优先；3.逻辑思维能力强，思维敏捷，能够适应并及时跟上阿里运营体系的玩法和变化；4.有过食品行业店铺经验的优先。,电商运营经理,https://jobs.zhaopin.com/CC307735288J00418658501.htm,招1人,10K-15K
城隍庙,上海,上海多姆设计工程有限公司,CZ132603810,合资,2019-07-10 19:09:07,本科,3-5年,岗位职责：1、相关科系本科以上相关专业毕业，5年以上绘制室内施工图设计经验2、熟练操作CAD、Photoshop、Sketchup等相关软件，熟悉室内设计及建筑工程各方面的流程，有责任感者；3、工装施工图绘图工作经验，能规范，快速地绘制各种装饰装修施工图（包括节点、大样等），熟悉建筑业相关法令法规，4、能配合深化设计师在一定的时间内完成施工图的绘制，参与过大型装饰项目的扩初设计、能独立完成平、立面图纸，熟悉设计规范，5、能参与项目施工现场的配合与交涉；有良好的领悟力和理解力。,室内施工图绘图员,https://jobs.zhaopin.com/132603817250041.htm,招1人,6K-8K
曹杨,上海-浦东新区,上海链家房地产经纪有限公司,CZ307313210,民营,2019-07-10 18:45:59,本科,不限,"【我们需要这样的你】 1、全日制统招本科以上学历，年龄18-36周岁，2、学习能力强，积极向上,希望和一群文化价值观OPEN、正直、进取的人一起奋斗；3、喜欢与人交流，有强烈成就动机，敢于挑战高薪，认可付出 = 收获的理念；4、性格坚韧，战斗力超强，具备在困难、挫折、艰苦的逆境中生存的能力；5、欢迎优秀的应届毕业生加入我们！ 【入职后你需要做的】 1、新人入店：迅速熟悉商圈及房产知识——师傅一对一、手把手教学。2、积累并开发客户与房源资源——公司系统里有海量而完善的房源信息，善用积累资源；3、根据客户需求意向，带客户看房——对销售产品及周边环境了如指掌；4、为客户提gong优质服务——赢得客户信任，自然会有源源不断的介绍客户；5、达成房产经纪买卖和租赁业务成交——商务谈判实践及能力培养。 【我们能给你提供的】 1、时间是自由的：弹性工作,让你摆脱长时间捆绑在办公楼里枯燥无味的上班族生活2、培训是免费的：没经验？No Problem！公司提供专业系统的带薪培训（小白大礼包）；3、收入是不封顶的：首月无责底薪6000+3000绩效+奖励，次月到转正无责5000+3000绩效，转正之后底薪3000+绩效2000+提成，提成是租赁50%，买卖20-70%4、福利是你想不到的：带薪年假、员工旅游、野外拓展，让你生活工作两不误； 如果你有信心有激情、有梦想，希望在上海这样的大城市拼搏出自己的事业，请一定立刻加入上海链家大家庭！寻真我！！",20.链家/市场营销、销售代表,https://jobs.zhaopin.com/CC307313213J00288050702.htm,招1人,8K-10K
七浦路,上海,上海循医信息科技有限公司,CZ336920830,民营,2019-07-10 19:00:20,本科,1-3年,任职要求：  1. 大专及大专以上学历者优先；  2. 有1年以上药企产品经理或者市场推广经理经验者从优；  3. 对医学传媒、医学策划服务市场推广有一定程度的认识，熟悉医药产品市场营销运作模式。  4. 年龄、性别不限性格外向，形象良好，有良好的沟通及表达能力；  6. 勤奋踏实、认真负责，有团队合作精神及坚韧的毅力；  7. 具有较强的市场开发及客户开发能力，有主动发掘商机和拓展新客户的能力；  8. 具有良好的公关能力、开拓意识、有强烈的事业心和良好的职业素质；  岗位职责：  1. 负责医学营销项目的推广、销售、客户服务及维护客户关系的工作；  2. 对大项目进行跟踪，并与各药企关键客户建立良好的合作关系；  3. 及时反馈市场信息并能根据销售及公司发展需求提出合理化的建议；  4. 定期提交销售情况报告和市场分析报告，并提出自己的建议和行动策略。完成公司制定并组织的市场活动，并落实市场运作的年度、月度计划。做到良好的执行；,销售经理,https://jobs.zhaopin.com/CZ336920830J00134309104.htm,招2人,8K-10K
七浦路,上海,上海循医信息科技有限公司,CZ336920830,民营,2019-07-10 19:13:19,本科,1-3年,岗位职责：（1） 负责医学相关资料的搜集、编辑、整理；（2） 负责医学类数据库内容资源的集聚、编辑与审核等工作；（3） 负责医学资讯频道内文案策划、采编、整合、撰写等；（4） 协助完成对文案、宣传资料的编写；（5） 完成上级领导交办的其他工作；任职要求：1、医学相关专业本科及以上学历，2年以上工作经验；2、具备良好的沟通协调能力和团队协作意识；3、有较强的文字功底、具备良好的语言表达和信息规划整合能力；4、有医学类、健康网站类编辑相关工作经验的优先考虑；5、对文字数据编辑工作有热情，有较好的收集、编辑、写作能力；6、有志于从事文案工作，有文字敏感性；7、具备疾病专题的策划能力和创新能力；8、善于沟通，有团队意识，能与其他人顺畅协作；9、工作主动积极，能承受较高的工作压力；,医学编辑,https://jobs.zhaopin.com/CZ336920830J00134310904.htm,招1人,10K-15K
,上海,上海链家房地产经纪有限公司,CZ307313210,民营,2019-07-10 18:55:00,本科,不限,"职位描述链家是一个年轻的战场，直等我们披荆斩棘的去奋战！如果你对现有的薪资待遇不够满意；如果你对现有的培训机制不够满意；如果你对现在的晋升体系不够满意；那么欢迎你加入上海链家这个平台，它会让你都满意~~~~~~来吧~来吧~相约“链家”~~【Lianjia.链家简介】（别嫌啰嗦，只是想让你更了解我们~）链家，成立于2001年，是一家集房产交易服务、资产管理服务为一体以数据驱动的全价值链房产服务平台，业务覆盖二手房交易、新房交易、租赁、装修服务等。链家目前已覆盖北京、上海、广州、深圳、天津、成都、青岛、重庆、大连等32个地区，全国门店数量约8000家，旗下经纪人超过15万名。为不断提高购房服务体验，链家积极布局线上平台。目前线上已覆盖PC端、链家APP、链家网手机版等终端，是具备集房源信息搜索、产品研发、大数据处理、服务标准建立为一体的房产服务平台。链家大平台为买卖双方用户提供全面真实的房产相关信息及咨询服务，并不断提高服务效率、提升服务体验，希望为用户提供更安全、更便捷、更舒心的综合房产服务。【我们需要这样的你】（相信自己，你需要勇敢尝试~）1、全日制统招本科及以上学历，年龄18-36周岁，不包含自考学历；2、有无工作经验均可，优秀应届生优先考虑；3、学习力强，积极向上,文化价值观OPEN、正直、进取；4、喜欢与人交流，有亲和力，工作积极主动，乐观开朗；5、做事认真踏实，为人正直诚恳；高度工作意识，良好团队精神。【我们主要的工作】（我们很专业哒~）1、负责线上渠道的房产信息维护，打造个人的专业品牌；2、线下负责客户接待、咨询工作，为客户提供专业的房地产职业咨询服务；3、了解客户需求，促成二手房买卖或租赁业务，并负责业务跟进和房屋过户手续办理等后续服务工作；4、负责公司房源的开发与积累，并与客户建立良好的业务合作关系。2、福利享不停：①内部员工租房、买房、租住自如房屋，服务费享受员工折扣价；②内部员工享有免费学历进修；③老员工享有周年庆定制礼物；④精英社成员享有免费出国游；⑤公司激励活动，可与父母一起在“人民大会堂”共进晚餐，且报销往返路费。3、晋升不拼爹：公司内部管理层不对外招聘全部内培，不定期举行公开公正的晋升考核，看ECD（学习能力、业绩能力、服务品质等综合能力）在公司的排名！完全靠个人，有能力咱就升！4、时间有弹性：弹性工作，让你摆脱长时间捆绑在办公楼里枯燥无味的上班族生活；做六休一，晚上9点—晚上8点，(当然会有午饭晚饭时间哒~)每周休息一天；5、工作地点:上海链家总部直聘，全上海所有门店任您挑选，也可就近安排；6、健康有保障：入职满2年老员工可享有年度体检的机会，体检医院为上海三甲医院，保障员工的身体健康是我们的第一准则；7、假期全带薪：每年可享有带薪年假10天，表现优异者可以享有更多假期哦！【我们为你量身定做的“外套”】：公司提供专业系统的带薪培训（没经验？No Problem！）从新人到精英，我们为您定制培训课程：1)入职前：新人训—入职前的5天专业知识岗前培训，让你对房地产业务知识有一个基本的认识2)入职一个月：衔接训(签约中的法律知识、业务实战、渠道开拓)和专业知识巩固培训(一对一师徒带教制）3)入职三个月：专业知识提升培训(签约能力、金融知识培训)4)入职六个月：储备店经理培训/储备店经理竞聘(管理能力培训、管理技能提升、团队建设)最后~有意向者可联系：上海链家总部招聘HR王小姐~℡***********（vx同号）【温馨提示】为避免重复邀约，请您投递一份简历即可。如有疑问可联系上海链家总部招聘部HR王小姐，将为您优先安排面试。面试通过后工作地址可根据个人意愿就近分配。预祝您面试顺利！",销售储备干部+专业培训+五险一金,https://jobs.zhaopin.com/CC307313213J00132717702.htm,招15人,8K-10K
大场,上海,广州龙文教育科技有限公司北京分公司,CZ344158080,上市公司,2019-07-10 14:10:05,本科,不限,工作内容：1.负责业务部门所有岗位的对接、人才挖掘、选聘，包括但不限于教学、教务、职能、销售、市场等岗位  2.积极有效地跟进招聘全流程，包括简历筛选、面试通知、面试接待、面试评估、录用审批、入职跟踪等各环节  3.开拓、维护并逐步优化招聘渠道，确保企业人力资源得到充足供应 4.从招聘的角度为业务部门提供专业服务，包括进度汇报，针对各职位的招聘建议，流程改进，人才储备等，建立良好的合作机制5.定期进行招聘数据分析，提交招聘情况分析报告，提高招聘效率6.协助完成招聘体系的改进和完善7.完成领导交办的其他工作我们的要求：1.全日制本科及以上学历，人力资源管理相关专业或持人力资源管理师三级及以上证书者优先考虑2.能说一口流利的普通话，沟通能力强，跟谁都能谈得来3.我们是年轻的团队，希望你也有朝阳的笑容和心态4.会Word、Excel、PPT等基本办公软件，会一点PS更好5.该岗位无经验要求，优秀的应届生我们也考虑我们提供：1.人性化的工作时间，早9:00-晚17:30，周末双休，给你诗和远方2.法定节假日按国家规定放假，除了春节，因为春节我们可能要比国家规定还要多几天3.旅游团建，一年一度出国旅游（自行准备护照），不定期组织团建4.技能培训（不定期组织PS、英语口语、沟通技巧、商务礼仪等培训）5.五险一金：必须要买,招聘专员,https://jobs.zhaopin.com/CC344158080J00155556609.htm,招1人,4K-8K
唐镇,上海-浦东新区,上海泓智信息科技有限公司,CZ191761020,上市公司,2019-07-10 00:53:03,本科,1-3年,1、 本科及以上学历，计算机、数学相关专业；2、 熟悉关系数据库原理；3、 至少掌握 DB2/Oracle/SQLserver/mysql 中的一种数据库操作和开发；4、 熟练使用 SQL 语言编程5、 熟悉 C#/Java/C++/C 中一种的开发语言；6、 具备一定的数据库分析、设计能力，能够使用一种数据库设计工具。优选条件：1、 有数据仓库建设经验开发经验尤佳；2、 有一线系统问题跟踪和解决丰富经验的可优先考虑。,数据库开发工程师,https://jobs.zhaopin.com/CC191761023J00263770207.htm,招1人,8K-10K
光新,上海,上海明月眼镜有限公司,CZ191566610,民营,2019-07-10 18:12:04,本科,不限,职责：1、负责开发适合眼镜零售行业导购员和店主的培训课件；2、负责集中培训及TTT3、负责培训管理要求：1、有销售经验2、有门店销售人员培训经验3、有大型眼镜零售企业总部培训部门工作经验的优先考虑4、年龄35以内明月眼镜福利↓书籍费用全报销超大茶水间 + 办公室休闲区域 + 健身器材免费零食，无限饮料，新鲜水果，进口牛奶每年2次旅行享受专业的配镜体验Annual bonus + Monthly benefit fee性格可爱到吓死你的同事们,培训经理（品牌&市场部）,https://jobs.zhaopin.com/CZ191566610J00090359706.htm,招1人,10K-15K
赵巷,上海,九思教育科技有限公司,CZ546332330,民营,2019-07-10 16:48:10,本科,1-3年,负责公司产品手册的中英文翻译；负责公司国外展会的筹备对接与材料筹备翻译工作；负责上海办事处日常的办公事务；负责公司国际营销网站的日常维护，客户的对接询盘、复盘等工作，跟踪开发国际客户业务；,英语翻译,https://jobs.zhaopin.com/CC546332332J00174823913.htm,招2人,6K-8K
