address,city,company,company_id,company_type,date,education,experience,job_description,job_name,job_url,people_num,salary
五角场,上海-杨浦区,上海炎裔文化传播有限公司,CZ494292580,合资,2019-07-22 10:16:09,本科,不限,福利待遇：1、丰富的客户资源，拥有电销团队筛选大名单，直接邀约客户门上门；2、高于同行的提成点，高达12个点；3、内部良好的晋升通道，专业和管理双向晋升通道；4、环境优良的员工公寓，距离办公位置仅15分钟，让你不再为租房发愁；5、缴纳五险一金、各类带薪休假（法定假日、年假、婚假、产假）；6、各种员工活动：国内外旅游、聚餐、员工生日会等。岗位职责：1、沟通了解客户申请留学的相关背景情况，熟练运用英文进行资料编写；2、根据留学办理的具体要求，提供高质量的文书制作和翻译支持服务；3、结合学生自身特点，为学生设计写作思路；4、独立完成英文文书；5、修改和完善客户的留学文书工作，随时向公司反馈工作进度。任职要求：1、英语本科学历或以上，具有英语专业八级以上水平，英美海外留学背景优先考虑；2、具有较强的语言沟通能力和表达能力；3、细致认真、逻辑性强；4、有同行业同职位工作经验优先；5、服务意识强，办事细心，有强烈责任心。  ,留学文案翻译,https://jobs.zhaopin.com/494292580250023.htm,招2人,6K-12K
潍坊,上海,北京乐享阅读教育科技有限责任公司,CZ826683980,民营,2019-07-22 10:00:21,本科,1-3年,1.为馆内的学员完成英文阅读的指导和答疑；2.能完成3-6岁 6-16岁年龄段孩子教学工作；3.维护及跟踪现有学员学习状况，追踪学员的学习进度；4.与家长保持良好的沟通，取得家长对中心与课程的及时反馈，保证中心与学员通畅沟通；3.负责试听课程和日常的教学活动的支持，维护体验课程的教学；4.对自己有完整的教师职涯规划，善于学习多元化的沟通式教学；5.定期接受中心教学体系，教材体系等课程培训，提高自身专业度。任职条件1.具有在少儿英语培训中心或早教教育机构工作经验者为佳；2.持有教师资格证，有少儿英语教学经验者优先；3.富有亲和力、有耐心，了解儿童心理者尤佳；4.本科及以上学历，英语达到专业四级以上；5.流利的英语听说读写能力，能熟练应用英语口语，具有和外教沟通协调的优秀能力。,少儿英语老师,https://jobs.zhaopin.com/CC826683980J00163554210.htm,招1人,8K-10K
人民广场,上海,成都华维信企业管理咨询有限公司,CZ603213130,港澳台公司,2019-07-22 09:16:42,本科,3-5年,职责描述：1、 带领本地区销售团队开拓新市场及提升老市场，实现公司下达的各项销售指标；2、 帯领本地区销售团队，实现各项目标KPI，落实各KPI项目执行到位；3、 结合本地区特色，规划合理的市场及销售活动，并确保执行效果；4、 在本地区执行公司各项市场策略及商务策略，确保提升公司品牌及产品品牌；5、 协助建设本地区各类政务关系，保障地区安全运营；6、 负责本地区的终端及客户的细分管理、分析及规划，实现客户产出最大化；7、 落实一线协访，确保及时发现市场问题/人员问题并落实解决；8、 管理及培育本地区的销售队伍，建立符合公司发展的高素质的团队；9、 负责组织安排本地区新员工培训，对销售人员的产品知识与市场运作进行全面培训，确保各人员掌握各类产品知识与市场情况；10、 负责推进本地区各类文件夹等报表体系的落实；组织召开本地区各类工作会议，确保会议质量；11、 确保本地区财务良性运作，符合公司各项管理章程，并保证公司效益最大化；12、 严格管控本地区各级人员的销售行为，杜绝不正当销售现象的发生；13、 准时提交销售相关的报表及报告，为上级决策提供依据；14、 完成其他上级指定之工作。任职要求：1、学历：医药、营销相关专业大专以上学历；2、工作经验：医药行业六年以上销售经验，两年以上同等职位管理经历；3、个人素质：a、良好的职业操守；b、敬业、强烈的责任心；c、富有工作激情，有良好的抗压性；d、严格自律。4、能力：a、熟知所辖区域的药品市场和销售网络；b、较强的计划、组织、指挥、协调能力；c、较好的培训能力。,地区经理（OTC）,https://jobs.zhaopin.com/CC603213130J00300188702.htm,招1人,8K-15K
梅园,上海,泰康养老保险股份有限公司上海分公司,CZ180078410,合资,2019-07-22 09:00:05,本科,不限,1、参与公司项目，做好与企业客户的对接和服务支持工作；企业员工福利保险计划设计；2、根据客户的需求，提供专业化的建议和服务咨询、制定个性化保障方案；3、通过项目服务挖掘潜在客户，完成特定的项目任务目标；4、企业保险营销（员工福利计划、企业年金、补充医疗福利计划等）；5、高端个人医养保险（泰康养老社区）营销。招聘要求：全日制大专以上学历，45周岁以下有销售经验优先,团险销售精英,https://jobs.zhaopin.com/CC180078417J00084674602.htm,招6人,6K-8K
长征,上海,广州市壹讯商务咨询有限公司,CZ146151900,民营,2019-07-22 10:11:56,本科,1-3年,"万豪酒店上海专场招聘会流程：投递简历—招聘顾问与你电话沟通—获得面试邀约邮件及短信—凭短信进场—面试—等待结果时间：2019年8月29日（星期四）地点：上海明天广场JW万豪酒店MARRIOTT VACATION CLUB ASIA PACIFIC (MVCI AP)As one of the world's largest Holiday Ownership organization, Marriott Vacation Club International offers a range of opportunities for talented individuals interested in making a career out of helping other people experience the joy of leisure time well spent.Our brands span across the globe and include Marriott Vacation Club, The Ritz-Carlton Destination Club and Grand Residence Club by Marriott.Due to our rapid growth in Asia Pacific, MVCI AP is seeking qualified individuals to join our dynamic team at our sales gallery in Phuket, Thailand (visit us at www.marriottasiaholidays.com).Marriott Maketing ExecutiveThis position is responsible for inviting the qualified customers for Sales Presentation. The role also includes assisting on any customer inquiries during their stay.Overall Responsibilities:1、Invite and schedule customer for Sales Presentation2、Explain details of premium gifts to customers.3、Sell Preview Package for customers who are unable to join sales presentation this time for their next visit4、Provide Guest Service on any inquiries during their stay5、Maintain performance target6、Other duties and assigned tasks as requiredRequirements:To perform this position successfully an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or abilities required. The individuals should have:1、Good personality,strong communication skills especially speaking2、Positive interpersonal skills.3、Able to work in a deadline and target.4、Strong hospitality skills.5、Required language(s): Candidate must be fluent in English and MandarinBenefits:1、2 days off per week2、After probation period will have 12 days vacation3、Insurance:Prudential Life Insurance,Annual Medical Check Up,Dental/Optical etc.4、Stay and duty meals for freeIf you believe you can fulfill the high standards we are seeking, we look forward to receiving your cover letter and resume giving full details of qualifications, experience and a recent photo as well as current and expected salary to: Email: *****************Please note, we regret that only short-listed candidates will be notified.此职位需长期出差泰国普吉岛万豪酒店，如不能接受国外工作，请勿投！",Marriott Maketing Executive (东南亚）,https://jobs.zhaopin.com/CC146151908J00255761407.htm,招10人,20K-30K
江湾,上海-杨浦区,欧艾斯设施管理服务(上海)有限公司,CZ436982820,外商独资,2019-07-22 10:01:15,本科,无经验,"岗位职责:岗位职责Responsibilities：1. Manage on boarding &exit process base on the company SOP.   按照公司要求和流程为员工办理入离职手续。2. Responsible for the employee contract renewal and probation appraisal process. Timely update staffs’ information in HR system when the terms of transfer, promotion, pay change and the other personnel information have been changed. 负责员工劳动合同续签、试用期转正等，如员工信息发生变更表如：管理员工晋升，转岗，薪资调整和其他信息更变，及时在HR系统中更新信息。 3. Keep and maintain personnel files and other relevant HR documentation for checking and audit.按照档案管理的要求整理员工资料并归档，以便及时取阅或审查。4. Responsible for the policy and information consultation within HR and the company.负责公司及人力资源内部政策和信息查询和咨询。5. Assist in C&B with the time attendance project.协助C&B部门完成考勤追踪相关工作。6. Support to analysis the payroll data. Participate in annual forecast & budgeting process and other compensation related programs薪酬相关数据测算与支持,参与年度预测、预算与其他薪酬相关计划。7. Assist in completing the processing of Work visa and RP with our vender for the expatriate协助完成外国人工作签证、就业证办理。8. Assist in the optimization of HR operations process to increase the working efficiency and improve the service level. Handle the ad hoc HR assignment协助优化人力资源部相关流程，以提高工作效率和服务质量。协助其他人力资源部相关的工作。任职要求:1. Bachelor or above, with HR relevant experience. 全日制统招本科及以上学历必须，具备HR工作经验的18届或19届有HR实习经验的2. Good English skill (both written and oral). 良好的英语水平3. Proficient excel & word skill 熟练掌握excel 和word 技能4. Excellent communication skill 较强的沟通技巧5. Proactive attitude, client service oriented and good team-work spirit 积极主动的工作态度，良好的客户服务意识和团队合作精神6. Acumen on data对数据具有敏感度7. Excellent logic thinking较强的逻辑思维能力",人事助理,https://jobs.zhaopin.com/CC436982820J00350375803.htm,招1人,6K-7K
南京东路,上海-黄浦区,上海迈志信息科技有限公司,CZ149008670,民营,2019-07-22 09:30:55,本科,1-3年,"职位描述：1.    参与项目实施规划及具体项目实施方案制定2.    根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务3.    与客户沟通，参与软件系统的需求分析和设计4.    参与负责软件开发技术和规范及标准流程的改进，按计划形成各类项目文档并归档岗位要求： 1.    大学本科以上学历，计算机及相关专业毕业，至少2年以上软件开发工作经验； 2.    熟练掌握.NET Framework（C#）,有开发B/S、C/S构架的应用程序的经验 3.    熟悉SQL Server数据库设计及数据库编程、Web service、asp.net开发4.    熟练掌握HTML语言、JavaScript，有大型网站开发经验优先5.    一年以上客户端应用程序开发经验 6.    具有良好的表达与沟通能力，能与客户进行需求沟通与分析，具有一定英文水平7.    良好的职业素养，责任心强，学习能力和团队合作精神强，能够承受较强的工作压力8.    有快速消费品行业软件开发经验者优先考虑",.NET软件工程师,https://jobs.zhaopin.com/149008670250173.htm,招1人,6K-8K
肇嘉浜路,上海,瑞易信息技术(上海)有限公司,CZ194953010,外商独资,2019-07-22 09:52:44,本科,5-10年,"Job Summary This position is based in Shanghai, will drive the project of centralized user management and attribute management system, participant the design/implementation/deployment per Agile Sprint development cycle, contribute the security related project evaluation and implementation across all products from aspect of application security.This position will also need to do close communication with colleagues from other countries (US, India). Job Responsibilities1. Analyze the requirements from product managers and provision the design and review with stakeholders (Architecture team/dependency component owner/PM/QA Lead)2. Work closely with QA team to resolve all defects/gaps in time3. Transfer the knowledge about design/deployment to production operation team and DevOps team4. Provide the API document and guideline to cross team for consumption of common used user/attribute data API5. Provide the technical evaluation against all application security issues and guideline for the cross-team about the resolution.  Education & Certification RequirementBachelor Degree in CS/Mathematics/Statistics/Engineering with 5+ years in industry, or Master Degree in CS/Mathematics/Statistics/Engineering with 3+ years in industry;  Passionate, Proactive and highly self-motivated; 1. Strong technical background and good grasp of software engineering principles; 2. Strong software development skills, with 5+ years in Java application development/Design.  o Hands on experience with some/all of these: Spring, Struts, Hibernate etc.  o Multi-threaded server side development  o Experience in design and system architecture including documentation of the same  o Have GUI development skills with Vue.js or React will be good plus3. Strong background and experience about micro-service architecture, and have knowledge about Sprint Boot/Cloud will be a big plus 4. Have good knowledge about cloud and Docker, with experience about K8s will be a good plus5. Have good knowledge and experience about Kafka or RabbitMQ or other message-queue skill6. Strong knowledge/experience upon at least one RDBMS (ex: SQL server), NoSQL will be good plus7. Have good knowledge and experience regarding the popular JEE web servers (Tomcat/Apache/JBoss/Nginx)8. Strong analytical and technical skills and demonstrated ability to creatively solve complex problems;9. Have the security related project experience or skills from SSO/Authentication/Authorization/Top-10 web vulnerabilities will be a big plus.  工作地点本职位工作地点在上海，但会与其他国家（美国、英国）的同事紧密沟通。 教育背景 & 资质要求计算机、数学、统计学、软件工程本科学历，5年以上行业工作经验；或计算机、数学、统计学、软件工程硕士学历，3年以上行业工作经验； 技术 & 经验要求 1. 扎实的技术背景，熟练掌握软件工程原则和敏捷开发；2. 熟练掌握软件开发技能，拥有5年以上Java开发工作经验；  o 具有基于Spring, Struts, Hibernate等框架开发的经验  o 具有多线程知识，熟练使用多线程进行并发功能开发  o 具有产品或软件设计的经验，并且能够将设计文档化3. 掌握流行的Java服务器平台（Tomcat/JBoss/Apache/Nginx 等）4. 熟练掌握微服务架构，并且具备相关项目的开发经验，有Spring Boots/Cloud的经验更佳5. 具备云平台应用以及容器化部署的技能或者经验6. 具备消息队列（Kafka或者RabbitMQ等）开发的技术或者经验7. 具备前台以及JS框架应用的技术或者经验，了解Vue.js 或者 React 更佳8. 具备Microsoft SQL Server或其他RDBMS之上SQL数据库编程经验，了解或者具备NoSQL的开发经验更佳；9. 具备应用安全方面的经验或者技术背景将优先考虑10. 逻辑分析能力强，具备独立专攻技术方案以及解决复杂问题的能力，能够适应自我驱动的工作方式； 工作职责1. 参与敏捷项目开发，分析项目经理提供的各种应用需求，并能够提供设计方案2. 负责项目的开发工作，与测试团队协同发布高质量的产品及应用版本；3. 与产品团队，开发运维团队协同完成产品及应用的部署工作；4. 分析公司产品及应用暴露的安全隐患，并且提供解决方案 ABOUT RETAIL SOLUTIONS, INC.: Retail Solutions, Inc. (""RSi"") develops and delivers a comprehensive suite of award-winning software-as-a-service (SaaS) solutions that turn Retailer ""downstream data"", such as point-of-sale (POS), supply chain, merchandiser feedback and category data, into actionable visibility into the store and onto the shelf for their suppliers.RSi, the largest and fastest-growing company in the Retail Execution Management field, has more experience with processing customer-specific retailer data than any other company. Retailers and consumer product goods (CPG) companies trust Retail Solutions to grow sales, reduce out-of-stocks, improve promotion execution and effectiveness, maximize retail operation productivity and foster collaborative relationships in the retail industry to improve product availability for the end-consumer.RSi serves more than 500 CPG Companies, including 23 of the top 25 global consumer goods companies, and processes data from more than 175 leading retailers in the Americas and Europe.Retail Solutions, Inc. is headquartered in Mountain View, CA and has offices in Providence, RI, Bentonville, AR, Minneapolis, MN, Chicago, IL, Brentford, UK, Paris, France, Munich, Germany, Pune, India, and Shanghai, China. RSi is an equal opportunity employer.",高级软件工程师-Java,https://jobs.zhaopin.com/CC194953016J00282078706.htm,招1人,20K-30K
安亭,上海-嘉定区,上海威派格智慧水务股份有限公司,CZ337595230,上市公司,2019-07-22 09:49:37,本科,3-5年,"岗位职责：1、能独立完成直饮水设备工艺方案编制和相关设计；2、精通直饮水水处理主要工艺流程，熟悉设计规范及标准；3、参与饮用水水处理的研发；4、直饮水设备设计文件、图纸的审核校验；5、能解决现场本专业的相关技术问题； 任职要求：1、 全日制统招本科及以上学历、环境/给排水等相关专业；2、 熟练掌握水处理专业知识，3年及以上相关工作经验，有直饮水行业任职经验优先；3、 熟练使用SolidWorks,CAD等相关建模软件；4、 具备较强的沟通表达能力、学习能力和系统思考能力。 薪资福利：1、缴纳社保公积金；2、公司有老员工计划，满五年工作，可以增加商业保险或者增加年休假天数；3、公司管三餐；4、在嘉定外冈租房人员可享受400元/月住房补贴；5、公司配备班车；6、生日礼品；7、结婚、生育礼金；8、每个月团队活动（聚餐或部门旅游）；9、每年一次体检；10、每年两次旅游（周边游）；11、公司厂区设置有健身房、书吧、咖啡厅等多种休闲放松区域；12、丰富多彩的各种专业的培训。",水处理工程师(直饮水方向),https://jobs.zhaopin.com/CC337595238J00235522004.htm,招1人,10K-15K
董家渡,上海-黄浦区,上海华钦瑞成信息技术有限公司,CZ525555530,其它,2019-07-22 09:50:35,本科,3-5年,工作内容 1、公司资讯数据平台相关数据处理模块的需求分析、数据采集框架和具体工作流、数据分析等工作及跨部门协同工作        公司安排的其他工作技术要求：具有良好的Java编程基础、熟悉jdk和主流Java开发框架         了解SQL和数据库基本操作原理，熟悉MySQL及Oracle等主流关系型数据库并由有实际项目开发、维护、调优经验         熟悉主流ETL工具，能熟练运用ETL工具构建数据导入导出工作流         熟悉Hadoop、HDFS、Hive、HBase、ElasticSearch，kafka、spark有一项或多项项目经验，熟悉主流商用大数据平台者优先，具有金融领域大数据系统经验者优先         熟悉Linux平台，熟悉shell脚本         了解微服务框架，有容器使用经验者优先         较好的团队协作和沟通能力           快速学习能力，能在短时间内熟悉新应用的流程/框架和环境,数据处理工程师-CL,https://jobs.zhaopin.com/CC525555530J00280256302.htm,招3人,14K-20K
静安寺,上海,迈桥(上海)健康管理咨询有限公司,CZ545695580,外商独资,2019-07-22 09:21:09,本科,5-10年,岗位职责：1、定期策划主题活动、海报以及日常的产品宣传、品牌宣传文案；（网站内容更新）2、负责品牌文案及资源整合应用、对外营销类项目的文案策划与提案、社会化媒体传播稿件的撰写。（品牌包装文案）3、协助网络推广完成公司项目微博、微信的内容采编，专题制作、活动策划等。（活动策划）4、领导安排的其他工作；职位要求：1、有较强的创意、热爱美容，健康行业，对互联网营销感兴趣，能适应短时间内密集工作强度。2、本科以上学历，1年以上医疗，美容文案策划工作经验；3、具有较好的文字和图片处理功底，1年以上文案/图片编辑能力，会PS；4、擅长制作PPT、有广告公司、文化媒体公司策划工作经验优先 ,文案策划,https://jobs.zhaopin.com/CC545695580J00271581407.htm,招1人,6K-12K
江湾,上海,上海禾木城市规划设计有限公司,CZ202107110,合资,2019-07-22 09:27:41,本科,5-10年,岗位职责：1、具有极强的专业能力，负责景观项目的方案主创设计。2、具有很强的项目拓展和掌控能力，负责对外承接项目，能够全程监控设计项目的进展和项目质量，对景观项目的质量、水平和技术全面负责。2、负责景观方案设计的技术管理，带领团队完成项目的前期谈判，方案的设计、图件设计、组织评审。3、优秀的领导能力，能承受较大压力，独立带领设计团队出色完成项目工作。任职资格：1、一流大学风景园林、环境艺术等相关专业本科及以上学历（研究生优先）。2、方案主创设计工作经验5年以上，並具有1年以上知名外企、大型设计公司或设计院景观项目负责人/主创/扩初设计工作经验。3、具有较强的方案构思、文字整理、形态设计能力，具有先进设计理念和思路，有大型项目设计经，能熟练使用相关绘图软件。4、具有较强的沟通能力和丰富的项目管理经验，熟悉相关技术性规范。5、具有良好的团队协作能力和一定的组织管理能力。6、擅长城市设计和详细规划者优先。,景观主创设计师,https://jobs.zhaopin.com/CC202107113J00286062708.htm,招1人,20K-30K
