address,city,company,company_id,company_type,date,education,experience,job_description,job_name,job_url,people_num,salary
天山路,上海-普陀区,诺音声设计顾问(上海)有限公司,CZ394218230,民营,2019-07-06 16:39:47,本科,1-3年,岗位职责：1.在声学顾问指导下完成声学项目工程方案设计；2.协助声学顾问完成现场环境噪声测试、评估、标书制作等工作；3.协调与项目相关沟通事宜；4.通过经验积累成为专业的工程师，独立完成项目。任职资格：1.声学、环境科学等相关专业；2.本科及以上学历，具有良好的英语阅读能力；3.熟悉使用各项办公软件、AUTOCAD及相关声学软件；4.具有良好的素质和团队合作、协调与沟通能力；5.勤奋且学习能力、执行力较强，能够在较短时间内熟悉项目设计流程并高效完成工作。,声学助理工程师,https://jobs.zhaopin.com/CC394218230J00136697908.htm,招2人,6K-8K
漕宝路,上海,北京淳中科技股份有限公司,CZ386168220,上市公司,2019-07-06 17:49:47,本科,不限,岗位职责： 1、完成产品的安装、调试、演示； 2、解决用户的在产品使用过程中遇到的问题； 3、根据用户需求、结合产品功能提供合适的解决方法； 任职资格： 1、电子、电气、计算机等工科专业，本科以上学历； 2、有技术支持或系统集成工作经验，有网络视频产品行业工作经验者优先； 3、丰富的软件及网络知识，熟悉各种通讯协议，熟悉计算机系统安装和维护及网络调试工作； 4、能独立完成网络系统方案设计，有施工，调试经验，有能力处理硬件及网络方面的疑难问题； 5、有较强的沟通能力和团队协作精神； 6、吃苦耐劳，服从公司安排，能适应出差。,售后工程师、技术支持工程师(偏硬件)G00013,https://jobs.zhaopin.com/CC386168222J00151944315.htm,招1人,5K-6K
颛桥,上海,宇构建筑科技(上海)有限公司,CZ835545310,股份制企业,2019-07-06 18:45:47,本科,1-3年,1、工作方式：大量的跑各个建筑设计院及开发商；2.前期公司可提供大量的客户资源；3、业务经理会进行专业培训，带你开拓渠道，拓展人脉参，参与销售目标设定、分解、执行以及商务团队组建、培养、激励等商务活动，学习掌握管理技能与技巧；4、业务经理会带领业务员与客户进行良好的联络沟通，开展商务洽谈等新客户开发和业务开拓工作，签订订单，回收相关服务款项。5.销售建筑行业装配式领域专业pc深化设计及全专业BIM设计；岗位要求：1、口齿清晰、思维敏捷，具有良好的表达沟通能力、学习能力、内驱力；2、大专及以上学历，市场营销、建筑及工程管理相关专业优先考虑，欢迎各位优秀者，经验不限；3、只接受应届毕业生和有一到三年工作经验的应聘者，欢迎优秀的应届毕业生，公司愿意花时间和精力培养，应届毕业生可以申请员工宿舍；4、工作积极主动，善于思考，具有团队精神和良好的服务意识，高度认同公司企业文化和价值观，认真负责，能承受较大工作压力，有较强的推动力、问题解决能力；5、高度认可销售工作，有挑战高薪的欲望，对工作和生活充满激情，不甘于平庸，不断追求进取与自我突破，具备良好的客户服务意识和抗压能力；6、乐观外向、乐于与人交往，有自己的想法和梦想，善于学习思考，能快速的接受新鲜事物，具备良好的语言表达、人际沟通能力；7、熟悉基本的办公软件，word、Excel、PPT等。 你将获得：1.无责任底薪5000--8000+提成+奖金；底薪 + 高提成+ 业绩奖金+公司各项福利；一年以上员工平均年收入10w-15w以上；二年以上员工平均年收入15w-25w以上；三年以上员工平均年收入25万以上；2.住宿安排：公司为外地员工提供员工宿舍；3.国家法定节假日全部休息及春节半个月的超长带薪年假；4每季度一次的免费国内外旅游及公司团建活动，以及各种员工聚餐、郊游、徒步旅行、员工生日会等；5.新员工岗前培训、上岗培训、专业技能培训、项目管理培训、管理培训等。6.晋升通道：公司为优秀员工提供完善的专业和管理双向晋升通道，为员工设计职位规划路径。7、超额完成任务，表现优异，你将有机会成为团队负责人，事业部负责人，分公司负责人，有机会成为公司合伙人！8、在浙江、江苏、武汉、成都、海南等全国重点省或者城市地正在筹建分公司，新员工试用期内均要在总部上海历练学习，合格后可留下，也可根据自身意愿派往各地。,设计类（营销工程师）,https://jobs.zhaopin.com/CZ835545310J00266853804.htm,招10人,5K-10K
虹桥,上海,居理新房,CZ464881780,民营,2019-07-06 18:45:33,本科,不限,居理新房(Julive)——雨燕管培生招聘简章近几年来，中国的互联网领域慢慢进入资本寒冬，伴随而来的是大量创业公司在发展的过程中面临越来越艰难的局面，难以维持生计的创业公司更是不计其数，尤其是O2O、P2P、共享单车、共享充电宝、直播等领域。2018年以来，无数的公司减员、缩招，甚至连阿里巴巴、腾讯、华为、百度这种级别的巨头，也会时不时被媒体报道缩招、停招，但互联网领域内仍然有极少一部分创业公司在逆势增长，并且在自己所在的领域不断的创造着新的奇迹。 居理新房就是这些奇迹中的一个：我们有一流的团队，百度、阿里、美团、龙湖、万科的人才，线上和线下深度结合；我们搭建了完全颠覆三观的房产咨询团队：咨询师队伍中统招一本学校出身的长期维持在75%以上；我们维持着传统行业无法想象的用户满意度：用户满意度评分达到满分的占比长期维持在99%以上；2015年初，我们还是一个10多人的创业小团队，截止2019年4月，人员规模超过了1700人，四年100多倍的人员增长。 加入居理新房，你将获得：★ 努力付出就可轻松过万的月薪；★ 远超想象的成长速度、晋升机会；★ 为培养成熟的职业经理人打造的职业环境；★ 互联网和房地产，两个最高薪行业的最前沿知识；★ 简单的工作氛围，完善的培训机制，健全的福利体系！ 【公司地点】：上海市长宁区中山西路1065号中山SOHO B1层中山3Q【培养流程】：Step1 通过面试后，公司将发放offer，正式9000元/月+满意度奖金+房补1000（试用期按基本工资80%发放）（面对未毕业学生：实习期工资260/天+满意度奖金）。Step2 开始为期六个月的咨询师岗试用期（面对未毕业学生：实习期），专注提升自己的业务能力，根据公司分配的一线客户实际需求为他们提供专业化的咨询服务，提供专业购房建议，锻炼自己的沟通能力和抗压能力，服务用户购房全流程。Step3 六个月结束后，根据期间表现及个人特长，根据岗位需要和个人意愿安排到最合适的职业发展方向。Step4 目标职业有两个方向：P序列：成为居理的咨询师，从初级咨询师到高级咨询师，随着职级从C1-C7，月收入从1.2万-5万M序列：成为居理的储备管理者，在做咨询师的同时也进入到储备主管的培训范围内，并根据主管选拔要求随时可报名参选，过去三年加入居理的小伙伴，从入职到成为主管平均周期大约8-10个月，从入职到经理平均周期大约2年，从入职到城市经理平均周期大约3年Step5 只要通过实习考核，未毕业仍按正式员工待遇发放全薪，有机会成为学校里月收入过万的极少的在校生之一。（本条面对未毕业学生） 【职位要求】：1、来自一本及以上院校，统招本科及以上学历【我们的小伙伴34%以上来自海外和国内优秀高校，我们非常期待这样你加入我们，一同成长】；2、有卓越的沟通能力和独立解决问题的能力；3、我们都是加班狂，所以对于工作时间你要有心理准备；4、强大的抗打击能力，时刻保持积极的心态，不断提升自己。 现在，这个极速发展的创业公司有一大波管理岗位虚位以待！雨燕，是自然界生长速度最快的鸟类之一；雨燕管培生，将会是年轻人职业成长速度最快的职业选择之一！良禽择木而栖，我在居理新房等你！    ,管培生 名校同事9K起薪_房补+快速晋升J10291,https://jobs.zhaopin.com/CC464881788J00125953211.htm,招30人,10K-15K
新天地(自忠路),上海-黄浦区,上海智声广告有限公司,CZ570205620,上市公司,2019-07-06 17:55:47,本科,3-5年,"岗位职责:1、参与或协助集团公司执行相关的政策和制度；负责公司账务的核算及税务相关工作；2、制定、维护、改进公司财务管理程序和政策，制定年度、季度财务、资金计划；3、负责公司的成本预算、核算与管理工作,；提供各项财务报告和必要的财务分析；4、进行成本预测、控制、核算、分析和考核，协助促进公司利润指标的完成。任职要求:1、财务、会计专业专科以上学历，有3年以上相关财务经验，中级会计师优先；2、熟练使用Excel函数，熟悉PPT和Word；3、有上进心，良好的学习能力、独立工作能力；4、工作细心，责任感强，良好的沟通能力、团队精神5、有广告媒体返利、返点销售模式财务经验的优先",总账会计,https://jobs.zhaopin.com/CC570205627J00350455103.htm,招1人,8K-10K
中山公园,上海,上海零辑营销管理有限公司,CZ867362460,民营,2019-07-06 19:10:43,本科,3-5年,岗位职责：根据公司业务发展，开展市场研究，深入了解行业现状并给对独到的见解；收集行业信息，出具分析文章，完成公司财经新闻的文章输出；配合并协助财经节目的策划、组织、准备以及维护工作；配合团队成员完成公司交办的其他工作。任职资格：3年或以上金融编辑， 懂技术分析为佳；银行或财经媒体行业出来的编辑人员优先；金融系本科毕业，海归为佳；有一定英语水平，能做简单翻译；较强的专业文字功底和培训能力；有责任心、有良好的沟通协调能力和团队合作精神。,财经编辑,https://jobs.zhaopin.com/CC867362460J00330275407.htm,招2人,10K-15K
张江,上海,上海南方基因科技有限公司,CZ121039380,合资,2019-07-06 19:02:15,本科,不限,"岗位职责：1. 科研方向：利用生物信息软件和统计学方法进行生物数据的分析研究，；2. 精准医疗方向：挖掘解读数据；3. 软件开发与流程搭建方向：根据生物医学行业趋势，对新软件和分析流程进行研发和创新。任职要求：1. 本科以上学历，生物学、计算机、数学、遗传学、生物信息学等理工科专业背景，具备高通量生物芯片数据分析，二代高通量测序数据分析工作经验者优先；2. 熟悉生物网站、数据库及相关软件；3. 有一定的计算机操作基础，熟悉linux系统者优先；4. 有一定的编程基础，python/perl/R语言优先；5. 具有良好的中英文阅读写作能力, 熟练阅读相关领域专业英文文献；6. 具备优秀的团队协作能力，良好的理解能力和沟通能力 。 ",生物信息工程师,https://jobs.zhaopin.com/121039381250020.htm,招3人,10K-15K
长征,上海,上海奕光电子科技有限公司,CZ363292520,民营,2019-07-06 17:02:28,本科,3-5年,一 任职资格1、年龄23—40岁，专科以上学历。2、热爱销售岗位，对销售感兴趣。3、敬业 团结 真诚 有担当 充满激情。4、标准普通话 善于沟通 反应灵敏。5、性格外向 坦诚 自信 乐观 思维活跃。二 薪资待遇1、月收入10000以上+加高额提成奖金，新人首单奖、周冠军、月度精英奖等2、公司提供各项员工福利：带薪年假、国内外员工旅游、生日会、运动会、节日礼品、不定期聚餐等高提成+年终奖+带薪旅游+带薪休假公司提供快速的晋升通道与广阔的发展空间，管理人员都是从内部提拔三 工作职责1、公司提供客户资源，和客户进行详细沟通2、记录好客户信息，及时跟进客户，促使成交3、不断开发新客户信息，并维护老客户4、在经理的指导下完成公司和上级领导安排的任务公司办工环境优美，，团队年轻，和善友爱，积极上进，晋升环境公平公正，我们热烈欢迎您的加入我们渴望优秀的销售人才的加盟，如果你喜欢销售这份职业，如果你能吃苦有韧性有激情，有拼搏精神。如果你渴求高额的奖金，来接受挑战吧！四 职业规划（晋升通道）1、销售方向 销售助理-销售-销售经理-销售总监 2、管理方向 行政助理-行政-行政总监3、技术方向 技术员-技术工程师-技术总监,销售总监,https://jobs.zhaopin.com/CZ363292520J00388832705.htm,招1人,10K-15K
陆家嘴,上海,太平金融稽核服务(深圳)有限公司,CZ328458210,国企,2019-07-06 16:35:00,本科,3-5年,岗位职责:为集团内专业子公司如财险、寿险、养老等机构提供稽核检查服务。1.为各子公司内部控制程序的有效性并揭示风险；2.对于内部稽核中发现的问题提出改进管理、提高效益的建议，以维护各子公司正常生产经营秩序，促进各子公司提高经营管理水平；3.根据安排完成东区所辖机构稽核项目，按照稽核作业要求完成稽核条线的非现场、现场、工具表、底稿、报告及整改等，保证时效和质量。任职要求:1.审计、财务、会计等相关专业本科或以上学历；2.熟悉财务条线，在保险公司财务条线或外审工作2年以上；3.有较强的沟通协调能力、文字表达能力、自我学习能力；4.谨慎稳重，积极乐观，具有较好的创新意识和服务意识；5.身体条件好，能适应出差。,稽核岗（财务条线）,https://jobs.zhaopin.com/CC328458213J00174038306.htm,招1人,8K-15K
张江,上海,升宝节能技术(上海)有限公司,CZ581689220,外商独资,2019-07-06 15:39:25,本科,1-3年,工作职责：1.日常财务管理、财务核算；2.各类财务报表、香港公司和国内公司合并管理报表的编制；3.负责编制公司盈利预测和现金流预测，并监督公司日常资金流动；4.对公司经济合同的审核与管理，及应收应付账务管理；5.负责年度财务预算；成本核算；6.办理税务统计申报和年检工作；7.负责银行贷款的洽谈和贷款事宜的安排；8.参与公司的融资事宜，参与尽职调查；9.负责处理国内企业和海外企业的审计工作，并能独立处理国外相关财务事宜。职位要求：1.本科及以上学历，中级会计师资格及以上，CPA优先；2.熟悉国内、香港、美国相关税务法规、政策；3.熟练运用各种财务软件。4.工作认真细心，为人正直，坚持原则，责任心强；5.有处理公司上市相关财务经验者优先；6.五年以上企业财务管理工作经验者优先；7.英语良好。,财务经理,https://jobs.zhaopin.com/CC581689227J00260349603.htm,招1人,15K-24K
