address,city,company,company_id,company_type,date,education,experience,job_description,job_name,job_url,people_num,salary
曹杨,上海,上海兆贝投资管理有限公司,CZ381456730,民营,2019-07-23 09:47:56,本科,3-5年,职责描述：1.结合金融知识，使用统计学工具研究和设计针对于数字货币的量化交易策略；2.研究制定量化策略的相关的规范和指标，并协助技术人员扩展策略的评估体系；3.使用统计检验等方法研究策略风险控制的数学模型，并协助技术人员搭建风险监控体系；4.协助技术人员扩展策略引擎框架。岗位要求：1.国内外大学硕士以上学历，数学、金融工程相关专业背景；2.统计基础扎实，有计量经济学基础；3.熟悉python及其他数据科学相关工具（MATLAB，TB等），有面向对象编程基础；4.有相应的金融基础知识，能够理解套利，对冲，衍生品定价；5.除了对算法设计有思路，同时对代码质量有追求；6.工作认真有责任心，逻辑分析能力强，善于沟通。优先条件：1.精通python及数据库优先；2.有量化私募，券商工作经验者优先；3.有基金从业资格，CFA者优先；4.有期货CTA，高频策略，以及数字货币量化策略研发经验者优先。,量化策略研发工程师,https://jobs.zhaopin.com/CZ381456730J00286724702.htm,招2人,10K-20K
,上海-闵行区,上海链家房地产经纪有限公司,CZ307313210,民营,2019-07-23 09:04:59,本科,不限,【绿色通道】因简历投递量较大，可直接电话联系总部招聘  HR:徐***********，我们将优先为您预约面试！！！【岗位职责】：1、维护各个线上渠道的房源（eg：链家网），保证信息准确、真实；2、接待客户、咨询工作，为客户提供专业的房地产置业咨询服务；3、了解客户核心需求，匹配并提供合适房源；4、负责商务谈判、合同签署以及房屋过户手续办理等服务工作；5、负责公司房源的开发、维护与积累，并与业主建立良好的业务协作关系。【任职要求】：1. 专业不限，统招本科及以上学历；2. 有互联网思维，会深度使用APP；阳光，踏实，有梦想，愿意通过自己的努力付出，实现个人价值；3. 高度的工作热情和团队合作意识，有销售、服务、学生社团干部经验者优先考虑；4. 良好的沟通能力，积极，乐观、开朗，良好的自驱力和进取心【薪资福利】：1、试用期A0经纪人：5000无责任底薪 + 3000绩效【第一个月住宿补贴1000元】；转正高额提成：20%—70%（如有住宿需要，可提供住宿方案）2、其他福利：春节10天带薪年假、工作满1年有5天带薪假、节日礼品、人民大会堂荣誉晚宴（优秀员工可带亲人参加）、国内国外旅游、公司互助金等。【人才发展通道】：1. 经纪人在链家的发展可以选择职业经纪人的专业路线或管理路线 进行发展。2. 管理路线为：经纪人——店经理——链家MVP俱乐部成员——商圈经理——营销总监——城市分公司总经理Lianjia.链家管理人才选拔的原则由链家企业文化衍生而来。链家鼓励拼搏进取，为团队利益、长期利益挑战困难商圈或新商圈、新城市并获得突破进展，鼓励传帮带，链家有自己内部储备管理池（MVP俱乐部）。【系统培训】：1、理论培训：入职前将接受专业的房产经纪行业理论知识；2、衔接培训：帮助新人从理论过渡到实践，链家新人三个月将内接受三次（初、中、高）衔接训。3、实战演练：师徒制，师傅将带你近距离接触业务实战。4、经验分享：链家优秀员工与你共同分享经验，让你借鉴别人的成功秘诀。5、工作氛围：Lianjia.链家将是您校园生活的延续，因为这里有一群爱学爱问、有激情、有梦想的积极向上的伙伴！就近分配：1300家门店遍布上海市区范围内，可就近分配工作地址； 联系人：HR徐联系方式：***********（同微信）,上海链家房产经纪人（优质版块皆可安排）,https://jobs.zhaopin.com/CC307313213J00155523302.htm,招5人,6K-10K
松江新城,上海-松江区,上海韫恩教育科技有限公司,CZ450257130,股份制企业,2019-07-23 09:21:18,本科,不限,岗位要求：1）大学本科及以上学历；有教学经验者优先；2）具有良好的教师职业操守和服务意识；3）讲课条理清晰，风趣幽默，有互动，能够因材施教，启发教学；4）普通话标准，具有较好的表达能力、沟通能力、组织能力和亲和力，上课生动活泼、幽默风趣富有激情和感染力，根据学生实际调整上课节奏。岗位职责：1）熟悉上海的小学数学教材内容，熟悉相应科目考试大纲2）为学生查缺补漏，帮助学生尽快提高学习成绩；3）可以上面授课、一对一、班课。4）参与集体教研、积极参与一些公开课、讲座,小学数学老师,https://jobs.zhaopin.com/450257139250024.htm,招5人,7K-12K
赵巷,上海,埃类特材料科技(上海)有限公司,CZ818715200,外商独资,2019-07-23 09:04:41,本科,3-5年,"PositionTitle:  Mechanical TechnicianReportsto:  Mechanical Test Engineer /Department Manager Keyresponsibilities include: ·        Conducting tensile, elevated temperature tensile,stress rupture and creep, Charpy impact, compression, electrical conductivityand hardness testing.·        Conducting mechanical equipmentmaintenance.·        Ordering mechanical labsupplies.·        Following stringent quality procedures such asNadcap.·        Possibly being involved with initial testequipment installation.Qualifications:Education: ·        Bachelor degree or above in Mechanical Engineering Experience:·        Minimum one year laboratory experience in thekey responsibilities above.Knowledge, Skills, Abilities, Certifications, and Licenses:·        Ability to understand and follow specificationssuch as ASTM and ASM.·        Good report writing skill both in Chinese andEnglish.·        Good command of English verbal and reading.·        Good command of computer skills (Microsoft Office).  ·        Familiarity with lean and 5S activities.Physical Requirements: ·        Ability to lift 25 pounds  ",Mechanical Technician机械测试师 ,https://jobs.zhaopin.com/CZ818715200J00378724101.htm,招1人,10K-15K
长征,上海,艾勒贝美(上海)化妆品有限公司,CZ867158820,民营,2019-07-23 09:03:39,本科,不限,1、熟练使用word、excl、ppt等办公软件；2、工作主动热情，具有高度的客户服务意识，性格乐观开朗，有耐心，爱心3、需具较强沟通协作能力，配合传达或执行领导发布的工作指令。4、负责公司日常运作信息的收集和整理，并向相关领导汇报5、可负责一部分财务工作6、应届毕业生优先,总经理助理,https://jobs.zhaopin.com/CC867158820J00363223203.htm,招1人,6K-8K
江湾,上海,上海坦科物流科技有限公司,CZ821760960,民营,2019-07-23 10:16:56,本科,1-3年,岗位职责：1、可以独立起草、修改、审阅合同，熟悉《合同法》、《公司法》的基本法律法规，有检索搜索法规的习惯；2、对公司风险防控有基础认识，可以对公司的合规与风险防控提出基本意见；3、对公司的纠纷处理提出基础法律性意见或建议，提出调解意见、纠纷解决方向等；4、对合同、印章的管理归档任职资格1、本科法律专业毕业，通过司法考试的优先。2、有一年以上公司或律所工作经验。3、有较强的沟通能力，人品正直，学历能力强。,法务,https://jobs.zhaopin.com/CC821760960J00213762501.htm,招1人,6K-10K
江湾,上海,上海坦科物流科技有限公司,CZ821760960,民营,2019-07-23 10:16:56,本科,1-3年,岗位职责：1、收集各项信息，汇总流程标准，下发及执行监督；2、协助进行承运商管理与考核，以维持公司良好运力；3、进行时效管理，不断优化服务质量；4、与业务部门保持紧密联系，及时反馈出现的各项问题，上传下达，并加以整改；5、收集相关反馈，通过有效的多方沟通进一步发现问题与解决问题，提升公司运营管理水平。任职资格：1、大专及以上学历；2、物流行业经验或相关专业优先;3、具备良好的学习能力和逻辑思维能力强，有较强的领悟能力；4、具有成本管控意识和大局意识；5、熟练使用办公软件。企业福利：【办公环境】创意园区，宽敞舒适、简单有爱、氛围轻松，无障碍的沟通方式！【五险一金】全额缴纳社会保险，包含试用期，不避税！【节日福利】生日蛋糕、六一儿童节、端午节、中秋节、春节等节日都有惊喜等着你！【员工活动】各种文化节周年主题活动、运动项目、竞技比赛、桌游、烧烤、轰趴、年会、Team Building、零食水果下午茶，丰富员工业余生活，相信你定会找到志同道合，趣味相投的小伙伴！【生活补贴】相关部门配备公司手机及电话卡，含通讯费！【企业培训】罐罐大学助你成长，从入职到成长，每一步罐罐大学帮你生涯设计和学习助力【晋升空间】公平公正的晋升机制，从职场新人到公司核心，只要肯努力，罐罐期待您的成长！【奖励机制】优秀员工、绩效奖金、群内红包雨，多样化的内部奖励，我们还在想方设法的完善奖励机制、补贴和福利，只为你少一些后顾之忧，多一份努力奋斗！找罐车坚信人才是企业发展的根本，随着公司规模的扩大，业务的迅速发展，我们迫切希望您加入我们成长的团队，与公司携手共进！工作时间：周一至周五9：00-18：00 周末双休工作地点：上海市虹口区汶水东路351号B座201（3号线大柏树站200米）,物流运营,https://jobs.zhaopin.com/CC821760960J00213850201.htm,招5人,5K-8K
金桥,上海,上海千维服饰有限公司,CZ222932610,股份制企业,2019-07-23 09:12:44,本科,1-3年,岗位职责 1、 进出口业务的联络、洽谈和谈判；2、 进出口订单处理，保证按照客户要求交付，针对客户的反馈妥善并及时处理；3、 对供应商质量、交付的监控，及时处理相关问题；4、 单据缮制及货款的收付安排；5、 适应短期出差。任职资格 1、 本科及以上学历。有1年以上外贸业务相关领域工作经验或有外企相关领域工作经历者优先考虑；2、 熟悉外贸和订单管理流程，或国际贸易专业毕业；3、 熟练的英语书面及口头表达能力，良好的沟通能力；4、 具有较强的进取精神和团队精神，工作认真，责任心强，抗压性强；5、 具有奉献精神。,外贸跟单员,https://jobs.zhaopin.com/CC222932616J00261584706.htm,招4人,8K-10K
春申,上海-闵行区,上海启文文化传播有限公司,CZ432629220,民营,2019-07-23 10:16:47,本科,不限,岗位描述：1）为学生提供专业高质量的教学服务，妥善安排学生课程；2）帮助学生提高学习兴趣，为学生提供针对性的学习方法，培养学生良好的习惯；3）与学生及家长保持良好、长期的合作关系；4）参加学科教研活动，提高教研水平，为公司提供高质量的教学资源和教案；5）不断学习提高业务水平；6）完成上级交代的其他任务。任职要求：1）本科以上学历，普通话标准，仪表仪态端庄，有亲和力；2）具有良好的教师职业操守和服务意识，热爱教育教学工作，热爱学生，为人师表，身正为范；3）沟通表达能力强，讲课条理清晰，风趣幽默，有互动，能够因材施教，启发教学；4）有责任心，抗压力强，执行力强。福利待遇：1）年薪可达9～18万；2）严格按照国家相关规定缴纳社保及公积金；3）根据国家规定，提供年休假期；4）每年定期员工体检5）根据个人特长及意愿提供多方面的晋升渠道6）五险一金，补充医疗，半年调一次薪晋升机制：教学老师—学科组长—教学校长助理—教学校长或 教学老师—学科组长—教研经理助理—教研经理,小学奥数教师（闵行）,https://jobs.zhaopin.com/CC432629220J00322261003.htm,招5人,8K-15K
漕河泾,上海,国泉金业(北京)珠宝股份有限公司,CZ565782620,民营,2019-07-23 10:08:47,本科,1-3年,岗位职责：1、在公司进行产品学习后，到银行给理财经理进行产品培训，教会理财经理向银行客户介绍、销售公司的黄金、白银实物产品；2、负责区域内银行产品销售活动的开展，协助理财经理解决客户要货、发票、对账结算等具体事务。3、负责与银行各网点支行的行长、部长、理财经理建立和维护良好的客情关系，树立并维护公司形象。任职要求：1、本科及以上学历，形象气质佳、沟通能力强。2、具备待人接物的基本礼仪，工作思路清晰，有责任心。福利待遇：1、工资5500元起。2、工资以外还可享有月业绩提成、季度奖金。3、社会保险、商业保险、职业培训、年度体检、工服、年终奖金等等。4、公司报销差旅费及可享受相应的各种补助。一、薪资情况1、业务人员从入职开始，根据学历高低和入职时间长短设定工资等级。目前不分职务共分为12级工资，本科最低为5500元。2、公司员工正常每年可调薪资一次（一个级别），做的非常好的可一次调整两个级别的工资。3、北京、深圳、上海三个城市工作的员工享有1000元/月的区域差补助；广东、浙江二个城市工作的员工享有800元/月的区域差补助；福建、江苏二个城市工作的员工享有500元/月区域差补助。4、工作日企业微信外出打卡，每天有10元补助，平均每月220元的补助。二、提成、奖金发放情况享有销售提成，销售提成在次月全额发放，并享有季度销售奖金和年终奖金；如果业绩达标，可以在享有这些高额提成奖金的基础上再增加自己销售额的2%做为奖金。在业绩正常完成情况下普通销售人员可以有15万元左右的年收入。三、 福利情况1、 免费体检（入职体检、年度体检）2、 保险u公司给每位员工缴纳社会保险（五险）u公司在员工入职时，给员工缴纳商业保险（可保30万）3、公司每年给销售员工做西装一套。4、端午、中秋公司会有相应的礼品。四、免费培训1、每个员工入职时，公司都会安排岗前培训，由老员工指导新员工，帮助新员工能步入正常工作。2、公司每年还会安排统一培训，提升员工职业技能。,银行渠道销售专员 上海,https://jobs.zhaopin.com/CC565782624J00051199715.htm,招1人,5K-10K
